Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,ATR
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700,51.95731696833563,-0.1575504062593609,-11.316825650240599,83.16786411830357
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500,50.78961157081986,3.00248512228427,-8.452963495735625,77.13214983258929
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100,66.25833736104397,6.792259388268576,-5.403918918934785,71.17145647321429
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300,60.047188598962485,7.745566175924978,-2.774021899962833,72.107177734375
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400,48.24175363185555,-0.7975267940846607,-2.3787228787871983,78.86788504464286
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100,45.63413218358452,-11.825311000498914,-4.268040503129542,82.92501395089286
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700,48.13377448226923,-18.00520315758331,-7.015473034020296,84.41434151785714
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100,41.33952666811342,-30.14038700535457,-11.640455828287152,86.86077008928571
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700,41.79473905344978,-38.04811922790668,-16.921988508211058,81.25362723214286
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900,33.32506127252857,-45.72059601719593,-22.681710010008032,81.07502092633929
2014-02-04,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300,27.566770050627625,-60.08139524756825,-30.161647057520078,85.40000697544643
2014-02-05,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600,25.600756029825575,-66.12896488214665,-37.355110622445395,85.39285714285714
2014-02-06,6036.2998046875,6048.35009765625,5965.39990234375,6028.35009765625,185500,29.560180745867612,-68.19096788956995,-43.52228207587031,84.53215680803571
2014-02-07,6063.2001953125,6079.9501953125,6030.89990234375,6077.64990234375,181900,36.55418701468766,-65.09664431188685,-47.83715452307362,83.63929966517857
2014-02-10,6053.4501953125,6083.0498046875,6046.39990234375,6072.7998046875,133100,30.401712794347844,-62.31737699924906,-50.73319901830871,81.36073521205357
2014-02-11,6062.7001953125,6081.85009765625,6053.25,6072.4501953125,150500,30.928608425550266,-59.45760789249016,-52.478080793145,78.93931361607143
2014-02-12,6084.0,6106.60009765625,6077.39990234375,6085.35009765625,138500,30.480256001318352,-55.51041643507324,-53.08454792153065,78.05357142857143
2014-02-13,6001.10009765625,6094.39990234375,5991.10009765625,6087.5498046875,153700,31.984133701585733,-51.60981497238026,-52.789601331700574,80.60710797991071
2014-02-14,6048.35009765625,6056.39990234375,5984.60009765625,6023.75,140200,35.02254927367224,-53.055085254773076,-52.84269811631508,75.71780831473214
2014-02-18,6127.10009765625,6141.7001953125,6066.7998046875,6071.2998046875,126600,44.34900060425824,-49.78965635274744,-52.23208976360155,76.97499302455357
2014-02-19,6152.75,6160.35009765625,6125.75,6132.0498046875,95200,47.44864148442678,-41.81771454799582,-50.1492147204804,79.00355747767857
2014-02-20,6091.4501953125,6129.10009765625,6086.4501953125,6127.14990234375,132100,56.28856106418583,-35.48621144579192,-47.216614065542714,72.70710100446429
2014-02-21,6155.4501953125,6159.64990234375,6108.0,6108.2998046875,112600,52.65398122543878,-31.624942316120723,-44.098279715658315,74.19280133928571
2014-02-24,6186.10009765625,6191.85009765625,6130.7998046875,6140.9501953125,144900,58.38185767521572,-25.63474369098094,-40.40557251072284,73.85355050223214
2014-02-25,6200.0498046875,6216.85009765625,6176.60009765625,6205.7001953125,146300,79.09159254191842,-15.484192133495526,-35.421296435277384,70.31068638392857
2014-02-26,6238.7998046875,6245.9501953125,6202.10009765625,6202.4501953125,181700,75.39730806579172,-7.614282028531306,-29.85989355392817,67.69642857142857
2014-02-28,6276.9501953125,6282.7001953125,6228.10009765625,6228.4501953125,180600,75.51651953440702,0.7124484756832317,-23.745425148005893,67.50355747767857
2014-03-03,6221.4501953125,6277.75,6212.25,6264.35009765625,144600,74.65019546762665,10.09193098389187,-16.97795392162634,68.49640764508929
2014-03-04,6297.9501953125,6302.14990234375,6215.7001953125,6216.75,166800,67.07800001853724,13.52836184271473,-10.876690768758127,72.05353655133929
2014-03-05,6328.64990234375,6336.25,6287.7998046875,6328.4501953125,160300,74.02403283069428,24.977109727487914,-3.70593066950892,78.54638671875
2014-03-06,6401.14990234375,6406.60009765625,6339.7001953125,6344.75,180700,74.18873965634525,34.962556339033654,4.027766732199595,81.68924386160714
2014-03-07,6526.64990234375,6537.7998046875,6413.5498046875,6413.9501953125,284900,77.05572653668503,47.907721756608225,12.803757737081321,88.09995814732143
2014-03-10,6537.25,6562.2001953125,6487.35009765625,6491.7001953125,242100,87.91216876964121,63.70626763355176,22.984259716375412,91.335693359375
2014-03-11,6511.89990234375,6562.85009765625,6494.25,6537.35009765625,239000,87.87484137320213,78.99963604167169,34.187334981434674,87.99281529017857
2014-03-12,6516.89990234375,6546.14990234375,6487.2998046875,6497.5,175000,80.74365567723437,86.90241391543532,44.7303507682348,85.83565848214286
2014-03-13,6493.10009765625,6561.4501953125,6476.64990234375,6491.75,167900,80.62833324172601,91.64501864370686,54.11328434332921,88.63570731026786
2014-03-14,6504.2001953125,6518.4501953125,6432.7001953125,6447.25,177300,77.29724373221592,90.7664893721967,61.44392534910271,91.07142857142857
2014-03-18,6516.64990234375,6574.9501953125,6497.64990234375,6532.4501953125,179300,79.06888720666161,95.84040379269845,68.32322103782187,94.22499302455357
2014-03-19,6524.0498046875,6541.2001953125,6506.0,6530.0,172500,76.53407738023897,98.5280373588439,74.36418430202627,91.31787109375
2014-03-20,6483.10009765625,6523.64990234375,6473.25,6508.35009765625,142000,74.29703455663399,97.78384879938403,79.04811720149783,92.23929268973214
2014-03-21,6493.2001953125,6522.89990234375,6485.7001953125,6515.2001953125,189900,73.49059758495613,96.63289576612533,82.56507291442334,89.16427176339286
2014-03-24,6583.5,6591.5,6510.5,6510.5,158400,71.25093056999361,94.25497799985533,84.90305393150975,90.27141462053571
2014-03-25,6589.75,6595.5498046875,6544.85009765625,6550.10009765625,168100,79.18231503859481,94.47678836068462,86.81780081734472,90.17142159598214
2014-03-26,6601.39990234375,6627.4501953125,6580.60009765625,6615.64990234375,186600,77.35232761130244,98.80295709867733,89.21483207361123,87.16071428571429
2014-03-27,6641.75,6673.9501953125,6599.5,6613.10009765625,312400,76.24448326283307,100.8630426921336,91.54447419731571,86.89644949776786
2014-03-28,6695.89990234375,6702.60009765625,6643.7998046875,6673.0498046875,184800,75.80673400149402,106.10994629414745,94.45756861668207,79.50003487723214
2014-03-31,6704.2001953125,6730.0498046875,6662.39990234375,6723.14990234375,220600,74.39650673361682,113.00812703418251,98.16768030018216,73.74288504464286
2014-04-01,6721.0498046875,6732.25,6675.4501953125,6729.5,177800,72.08364244884582,117.63140318730984,102.0604248776077,72.71787806919643
2014-04-02,6752.5498046875,6763.5,6723.60009765625,6757.60009765625,173300,80.7228818378649,122.15470251419356,106.07928040492487,71.36429268973214
2014-04-03,6736.10009765625,6776.75,6696.89990234375,6772.0498046875,197500,82.44210702401621,125.45920479827146,109.9552652835942,71.01070731026786
2014-04-04,6694.35009765625,6741.85009765625,6685.14990234375,6741.85009765625,155100,85.26458035487796,124.20937434828011,112.80608709653139,71.09284319196429
2014-04-07,6695.0498046875,6725.14990234375,6650.39990234375,6694.25,133900,71.283868846057,118.01751222430448,113.848372122086,68.50355747767857
2014-04-09,6796.2001953125,6808.7001953125,6705.10009765625,6722.0,169800,73.68034996350532,114.03508449498622,113.88571459666606,74.16427176339286
2014-04-10,6796.39990234375,6819.0498046875,6777.2998046875,6803.0498046875,191100,81.70182233805963,116.0809151722151,114.32475471177588,77.04282924107143
2014-04-11,6776.2998046875,6789.35009765625,6743.14990234375,6758.35009765625,140700,74.18685188333293,112.79512593766867,114.01882895695445,78.66427176339286
2014-04-15,6733.10009765625,6813.39990234375,6711.75,6792.7001953125,123200,76.50768519503774,111.67555383260878,113.55017393208533,80.13926478794643
2014-04-16,6675.2998046875,6748.64990234375,6665.14990234375,6727.25,119800,65.86941174309263,104.304642114741,111.70106756861648,83.17501395089286
2014-04-17,6779.39990234375,6783.0498046875,6684.39990234375,6695.4501953125,131500,57.60873917217349,94.80431783518816,108.32171762193083,84.69642857142857
2014-04-21,6817.64990234375,6825.4501953125,6786.89990234375,6789.25,111800,64.3060350605029,93.7632582426877,105.41002574608221,88.66427176339286
2014-04-22,6815.35009765625,6838.0,6806.25,6822.89990234375,114700,62.71318580896066,94.56340879743675,103.24070235635313,85.75355747767857
2014-04-23,6840.7998046875,6861.60009765625,6820.75,6823.25,183000,59.27541333400899,94.14058971407758,101.42067982789803,83.83928571428571
2014-04-25,6782.75,6869.85009765625,6772.85009765625,6855.7998046875,154300,61.16119355584782,95.33305958436267,100.20315577919096,86.71072823660714
2014-04-28,6761.25,6786.25,6750.2998046875,6778.5498046875,118200,51.70337021553657,89.0185210544214,97.96622883423706,91.39644949776786
2014-04-29,6715.25,6779.7001953125,6708.64990234375,6769.0,115500,49.75003601786486,82.29496917065717,94.83197690152109,90.76789202008929
2014-04-30,6696.39990234375,6780.14990234375,6656.7998046875,6724.9501953125,161100,48.64562177899346,72.57545015080632,90.38067155137813,93.37147739955357
2014-05-02,6694.7998046875,6737.64990234375,6689.5,6709.9501953125,114300,51.327602437695084,62.93679051814979,84.89189534473246,90.27859933035714
2014-05-05,6699.35009765625,6741.0498046875,6680.4501953125,6681.64990234375,105000,46.59118378162984,52.410332500548066,78.39558277589558,86.43212890625
2014-05-06,6715.2998046875,6743.4501953125,6701.89990234375,6719.25,88300,42.35960118313059,46.56527680121144,72.02952158095874,83.914306640625
2014-05-07,6652.5498046875,6718.75,6642.89990234375,6708.60009765625,114100,45.16379529669979,40.60559392329742,65.74473604942648,85.08932059151786
2014-05-08,6659.85009765625,6688.39990234375,6638.5498046875,6669.89990234375,101600,38.162679551952046,32.386389832500754,59.07306680604134,82.83220563616071
2014-05-09,6858.7998046875,6871.35009765625,6652.14990234375,6654.14990234375,166400,42.20680450301975,24.321356543899128,52.1227247536129,89.37862723214286
2014-05-12,7014.25,7020.0498046875,6862.89990234375,6863.39990234375,157700,62.9901603484779,34.41773950532115,48.581727703954556,108.46791294642857
2014-05-13,7108.75,7172.35009765625,7067.14990234375,7080.0,232200,68.89827754306143,59.214426373539936,50.70826743787163,121.25006975446429
2014-05-14,7108.75,7142.25,7080.89990234375,7112.0,177200,68.83142658130015,80.51992832016731,56.67059961433077,122.21435546875
2014-05-15,7123.14990234375,7152.5498046875,7082.5498046875,7111.2998046875,186800,68.75445871657632,96.23881109307786,64.5842419100802,124.29649135044643
2014-05-16,7203.0,7563.5,7130.64990234375,7270.2001953125,393200,73.16896056189148,120.13325113774499,75.69404375561317,149.66793387276786
2014-05-19,7263.5498046875,7291.10009765625,7193.5498046875,7276.85009765625,316200,80.24765566508333,138.01540291369201,88.15831558722894,149.10009765625
2014-05-20,7275.5,7353.64990234375,7247.7001953125,7309.9501953125,255300,81.92384607848223,153.0932743128542,101.145307332354,151.59291294642858
2014-05-21,7252.89990234375,7287.14990234375,7206.7001953125,7274.85009765625,203100,82.79846532090042,160.36176093149516,112.98859805218223,150.15719168526786
2014-05-22,7276.39990234375,7319.5498046875,7258.14990234375,7289.9501953125,240900,84.58963825080983,165.4335259194595,123.47758362563769,151.10362025669642
2014-05-23,7367.10009765625,7381.0,7293.89990234375,7306.5,259600,87.79407447573244,168.84206096009257,132.5504790925287,153.27863420758928
2014-05-26,7359.0498046875,7504.0,7269.0498046875,7428.75,273200,88.9278718178428,179.3405763228675,141.90849853859646,165.646484375
2014-05-27,7318.0,7372.9501953125,7274.75,7363.10009765625,168600,83.86626673080733,180.28511237371094,149.58382130561935,171.19290597098214
2014-05-28,7329.64990234375,7344.75,7302.60009765625,7324.9501953125,175600,83.9140544538862,175.92730524796298,154.85251809408808,170.5107421875
2014-05-29,7235.64990234375,7325.39990234375,7224.39990234375,7316.60009765625,241100,84.56199667601092,169.84209466406628,157.85043340808372,162.06787109375
2014-05-30,7229.9501953125,7272.5,7118.4501953125,7254.85009765625,312200,74.13824458546256,158.21303116199215,157.9229529588654,150.08572823660714
2014-06-02,7362.5,7368.60009765625,7239.5,7264.0498046875,169900,65.24979245322713,148.03282378067343,155.94492712322702,137.23929268973214
2014-06-03,7415.85009765625,7424.9501953125,7342.14990234375,7375.35009765625,234700,69.28596919199613,147.24854992921973,154.20565168442556,144.28574916294642
2014-06-04,7402.25,7433.2998046875,7391.35009765625,7417.5498046875,204600,71.1425612702796,148.3224026016078,153.029001867862,143.42501395089286
2014-06-05,7474.10009765625,7484.7001953125,7360.5,7399.75,250700,61.10777114436193,146.05352893565487,151.6339072814206,119.99644252232143
2014-06-06,7583.39990234375,7592.7001953125,7497.64990234375,7521.5,248400,67.51880225032605,152.3237443946873,151.77187470407395,126.81072126116071
2014-06-09,7654.60009765625,7673.7001953125,7580.25,7621.64990234375,231900,70.36456196609144,163.48958923594,154.11541761044717,130.11432756696428
2014-06-10,7656.39990234375,7683.2001953125,7579.2998046875,7679.0498046875,188700,75.66024365732736,174.95353863772198,158.28304181590212,130.16078404017858
2014-06-11,7626.85009765625,7700.0498046875,7589.0498046875,7672.39990234375,186200,74.5427860051125,181.41101631668062,162.90863671605783,133.70364815848214
2014-06-12,7649.89990234375,7658.0,7593.7998046875,7641.2998046875,148200,71.09110080861473,181.9220122200195,166.71131181685018,132.81438337053572
2014-06-13,7542.10009765625,7678.5,7525.35009765625,7668.2001953125,174500,67.14400581728685,182.39507991813298,169.84806543710675,126.97150530133929
2014-06-16,7533.5498046875,7548.60009765625,7487.5498046875,7534.7998046875,155400,61.20608831382057,170.04551399166212,169.88755514801784,128.87510463169642
2014-06-17,7631.7001953125,7637.60009765625,7509.25,7525.0498046875,158000,63.56239368285887,157.65430975876825,167.44090607016793,133.72154017857142
2014-06-18,7558.2001953125,7663.0,7515.5,7636.0498046875,165100,69.00694174500606,155.00417185825154,164.95355922778467,137.04296875
2014-06-19,7540.7001953125,7606.4501953125,7502.5498046875,7580.0498046875,148900,69.48236694103475,146.69418721416332,161.30168482506042,132.42511858258928
2014-06-20,7511.4501953125,7560.5498046875,7497.2998046875,7543.2998046875,124100,66.19497033444263,135.58016292361935,156.15738044477223,129.11439732142858
